id,label,timeset,fan_count,category,username,users_can_post,post_activity,talking_about_count,modularity_class
11640096627,Warner Bros. Entertainment,,3317700,Company,warnerbrosent,no,0.04,18841,2
6.48204E+14,Pan,,338521,Movie,PANMOVIE,no,0,294,6
6.10962E+14,LEGO The Hobbit,,394211,Video Game,LEGOTheHobbitGame,yes,0,168,4
2.98185E+11,WB Games,,307102,Games/Toys,wbgames,no,0.01,6767,4
1.98997E+14,The Great Gatsby,,1993670,Movie,thegreatgatsbymovie,no,0,2659,5
2.96026E+14,Warner Bros. Pictures,,26724495,Movie/Television Studio,WarnerBrosPictures,no,0.16,11308,2
1.40263E+14,Batman Arkham,,3085667,Games/Toys,BatmanArkham,yes,0,3521,4
1.19132E+14,New Year's Eve,,333789,Movie,newyearsevemovie,no,0,272,6
2.18749E+14,Rock of Ages (Movie),,435256,Movie,RockofAges,no,0,601,6
3.63905E+14,Camelot,,22414,Movie,camelotmovie,no,0,20,2
1.01949E+14,Television Out of the Box: An Exhibit by Warner Bros.,,9984,Arts & Entertainment,TelevisionOutOfTheBox,no,0,6,2
1.08163E+14,Born to Be Wild 3D,,27218,Movie,BornToBeWild3D,yes,0,77,6
11648563484,DC Comics,,3900759,Company,dccomics,no,0.2,20621,4
1.94846E+14,Harold & Kumar,,1042322,Movie,HaroldandKumarMovie,yes,0,1079,2
1.60617E+14,The Hobbit,,7494209,Movie,TheHobbitMovie,no,0,25345,4
2.25035E+14,The Dark Knight Rises,,6125120,Movie,thedarkknightrises,no,0,4324,2
2.09402E+14,J. Edgar,,80738,Movie,jedgarmovie,no,0,80,2
1.62703E+14,"Crazy, Stupid, Love.",,1032456,Movie,crazystupidlove,yes,0,1815,2
2.09168E+14,Warner Bros. Cine - Latino,,2681509,Movie/Television Studio,WarnerBrosCine,yes,0.1,11209,0
74089565764,The Hangover,,21397811,Movie,thehangover,no,0,12803,2
2.08058E+14,Aim High,,30970,Entertainment Website,AimHighSeries,no,0,12,2
1.52895E+14,Warner Bros. Studio Tour London,,857571,Landmark & Historical Place,wbtourlondon,yes,0.32,25380,1
1.4496E+11,Green Lantern (Movie),,4144583,Movie,greenlanternmovie,no,0,4112,4
1.54178E+14,Ben-Hur,,340920,Movie,BenHurMovie,yes,0,474,3
2.12216E+11,The Lord of the Rings Trilogy,,13876365,Movie,lordoftheringstrilogy,no,0,8784,4
1.56794E+11,Harry Potter,,75457113,Movie,harrypottermovie,no,0.04,216782,1
1.86021E+11,Warner Bros. Studio Tour Hollywood,,176054,Local Business,wbtourhollywood,yes,0.04,8023,2
53569778639,Warner Blu,,64019,Company,WarnerBlu,no,0,48,2
2.11855E+11,WB Shop,,132973,Retail Company,wbshop,no,0,163,2
2.0591E+11,Warner Archive Collection,,196863,Movie/Television Studio,warnerarchive,yes,0.27,9805,3
1.11253E+11,Time Warner,,133894,Media/News Company,TimeWarner,no,0.03,132,5
23330993776,Warner Bros. TV,,520056,Movie/Television Studio,warnerbrostv,no,0.07,7991,2
8062362435,The CW,,1748322,TV Network,TheCW,no,0.11,8684,7
1.72939E+15,Levi Miller,,46308,Artist,,no,0,182,6
2.41434E+14,Amanda Seyfried,,61294,Artist,AmandaSeyfriedActress,yes,0,44,6
1.67633E+14,Hugh Jackman,,24176969,Public Figure,HughJackman,no,0.05,714229,6
3.66862E+14,LEGO The Lord of the Rings,,502005,Video Game,LEGOTheLordoftheRingsVideogame,no,0,283,4
1.31296E+14,BATMAN - The Telltale Series,,49755,Video Game,TelltaleBatman,no,0.02,149,5
1.54377E+15,Batman: Arkham Underworld,,25020,Video Game,BatmanArkhamUnderworld,yes,0.04,109,4
1.56496E+15,LEGO Dimensions,,305192,Video Game,LEGODimensions,yes,0.17,3221,4
1.11585E+14,Shadow of War,,571406,Games/Toys,ShadowOfWarGame,yes,0.01,3860,4
4.41143E+14,Mad Max,,405739,Games/Toys,MadMaxGame,yes,0,277,4
3.64971E+14,Injustice,,1060043,Games/Toys,injusticegame,no,0.06,79052,4
9989783270,1UP Network,,52551,Entertainment Website,1Up,yes,0,29,4
4.35109E+14,Guardians of Middle-earth,,73525,Games/Toys,Guardiansofmiddleearth,no,0,44,4
14104316802,PlayStation,,38220203,Product/Service,PlayStation,no,0.16,83272,4
1.99286E+14,LEGO Batman Game,,654312,Games/Toys,LEGOBatmanGame,yes,0,589,4
31732483895,The Tonight Show Starring Jimmy Fallon,,12263750,TV Show,FallonTonight,yes,0.82,1335568,6
15960740673,Turbine,,10657,Company,turbinegames,no,0.01,21,4
22694160991,Dungeons & Dragons Online,,161116,Games/Toys,DDOUnlimited,yes,0.17,464,4
25590536328,The Lord of the Rings Online,,501786,Games/Toys,LOTRO,yes,0.13,3173,4
16607723841,Monolith Productions,,7626,Games/Toys,MonolithProductions,no,0,28,4
2.3574E+14,LEGO Harry Potter,,795946,Games/Toys,LEGOHarryPotterGame,no,0,581,1
2.24614E+14,Lollipop Chainsaw,,67516,Games/Toys,LollipopChainsaw,no,0,94,4
3.11994E+11,Supergiant Games,,70010,Games/Toys,supergiantgames,yes,0.02,174,4
12887942787,Batman: The Dark Knight,,16940305,Movie,darkknight,no,0,157228,2
11006847845,F.E.A.R. & Project Origin,,102160,Games/Toys,whatisfear,no,0,82,4
2.24002E+14,Gotham City Impostors,,95375,Games/Toys,GothamCityImpostors,no,0,44,4
8811587900,Gossip Girl,,12575561,TV Show,GossipGirl,no,0,14067,7
1.04748E+14,Green Lantern: Rise of the Manhunters,,135989,Games/Toys,GreenLanternVideogame,no,0,106,4
1.41884E+11,Peter Jackson,,2195358,Producer,PeterJacksonNZ,no,0,1610,4
3.51903E+11,The Lord of the Rings: War in the North,,130464,Video Game,lotrwitn,no,0,97,4
86496149468,Scribblenauts,,276462,Games/Toys,ScribblenautsVideoGame,yes,0,181,4
1.17267E+14,Mortal Kombat,,5966169,Games/Toys,MortalKombat,yes,0.01,7119,4
2.63109E+14,Catherine Martin Home,,5847,Home Decor,catherinemartinhome,no,0,4,5
4.49083E+14,Amitabh Bachchan,,26798914,Public Figure,AmitabhBachchan,no,0.07,442211,5
1.15589E+14,Scribner Books,,35634,Publisher,ScribnerBooks,yes,0.02,1355,5
3.36384E+14,The Great Gatsby,,1155457,Book,TheGreatGatsby,no,0,1254,5
9085937115,Leonardo DiCaprio,,17067564,Artist,LeonardoDiCaprio,no,0.03,97601,5
1.74584E+14,Bazmark - The Great Gatsby,,12760,Movie,,yes,0,12,5
6.36324E+14,In the Heart of the Sea,,243664,Movie,IntheHeartoftheSeaMovie,no,0,418,2
1.55048E+15,Suicide Squad,,7091859,Other,SuicideSquad,no,0.01,8148,2
2.43645E+14,Batman v Superman: Dawn of Justice,,4935892,Movie,batmanvsuperman,no,0.01,3827,2
6.00484E+14,Central Intelligence,,409023,Movie,CentralIntelligenceMovie,no,0.01,507,2
1.90285E+14,Man of Steel,,3946670,Movie,manofsteel,no,0,4694,2
5.42323E+14,Rocksteady Studios,,21775,Games/Toys,RocksteadyGames,no,0,309,4
1.82947E+14,Midway Arcade,,23971,Games/Toys,MidwayArcade,no,0,26,4
