id,label,timeset,fan_count,category,username,users_can_post,post_activity,talking_about_count,modularity_class,pageranks
35245929077,Disney Pixar,,14537958,Movie/Television Studio,DisneyPixar,no,0.11,70007,0,0.038336156
3.50972E+14,Finding Dory,,3106740,Movie,PixarFindingDory,no,0.02,7227,0,0.003378595
4.53889E+14,Inside Out,,924334,Movie,PixarInsideOut,no,0.02,14149,0,0.002832882
4.85443E+14,Colin's Friends,,1921726,Community,Coliniseleven,yes,0.17,15394,2,0.003221528
1.32181E+11,Boo,,21727110,Movie Character,MonstersIncBoo,no,0,26129,0,0.004153669
3.20726E+14,The Good Dinosaur,,354319,Movie,PixarTheGoodDinosaur,no,0.01,1941,0,0.003977648
17377140236,Ratatouille,,8553480,Movie,PixarRatatouille,no,0.02,17632,0,0.003672846
6877151199,Fandango,,2009857,Entertainment Website,Fandango,yes,0.15,312403,1,0.008406774
1.56129E+14,Brave,,8628973,Movie,PixarBrave,no,0.02,17731,3,0.004586358
1.07118E+14,Disney Games,,2877878,Games/Toys,DisneyGames,yes,0.03,4754,3,0.009520349
1.25503E+14,A Bug's Life,,2077776,Movie,PixarABugsLife,no,0.01,1491,0,0.003343346
29349922628,WALL•E,,8645185,Movie,PixarWallE,no,0.02,12654,0,0.003008798
1.18195E+11,Up,,14535988,Movie,PixarUp,no,0.04,48761,0,0.004006757
17765071054,The Incredibles,,7375526,Movie,PixarTheIncredibles,no,0.03,17591,0,0.005287967
11215611028,"Monsters, Inc.",,14300865,Movie,PixarMonstersInc,no,0.02,19039,0,0.005591732
15294801701,Finding Nemo,,18948446,Movie,PixarFindingNemo,no,0.02,18691,0,0.004739319
31159065182,Cars,,16598052,Movie,PixarCars,no,0.01,37607,0,0.007144245
10498014129,Toy Story,,31905723,Movie,PixarToyStory,no,0.06,72658,3,0.009281476
11784025953,Disney,,50875649,Arts & Entertainment,Disney,no,0.24,303033,0,0.043584621
26012002239,Ellen DeGeneres,,27027760,Public Figure,ellentv,yes,0.12,966492,2,0.008295983
1.11383E+14,Walt Disney Studios,,31146520,Movie/Television Studio,WaltDisneyStudios,no,0.07,17929,0,0.014472012
1.33117E+11,James P. Sullivan (Sulley),,4945895,Movie Character,MonstersIncSulley,no,0.01,2511,0,0.002567956
1.36573E+11,Mike Wazowski,,11263273,Movie Character,MonstersIncMikeWazowski,no,0.01,7297,0,0.002567956
23245476854,Walt Disney Animation Studios,,13632737,Movie,DisneyAnimation,no,0.02,367975,0,0.033575085
4.98505E+14,Eh Bee,,10629523,Public Figure,ehbeefamily,yes,0.04,296061,0,0.001499737
2.42125E+11,Los Angeles Zoo and Botanical Gardens,,101160,Zoo,LosAngelesZoo,yes,0.1,4251,1,0.001499737
1.46658E+14,Jeffrey Wright,,12867,Artist,,yes,0.01,21,0,0.001499737
1.4317E+15,Anna Paquin,,374849,Artist,AnnaPaquin,yes,0.06,9251,0,0.001499737
1.47237E+15,Marcus Scribner,,49981,Artist,,yes,0.19,35149,0,0.001499737
1.60848E+11,Ego,,3146610,Movie Character,RatatouilleEgo,no,0,1524,0,0.001997015
1.32935E+11,Emile,,2920700,Movie Character,RatatouilleEmile,no,0,943,0,0.001997015
1.33947E+11,Linguini,,3939282,Movie Character,RatatouilleLinguini,no,0,1953,0,0.001997015
1.32584E+11,Remy,,4799437,Movie Character,RatatouilleRemy,no,0,2612,0,0.001997015
7899892356,Rotten Tomatoes,,599820,Entertainment Website,rottentomatoes,no,0.18,40756,1,0.00196929
2.02798E+14,FandangoNOW,,66206,Product/Service,FandangoNow,no,0.02,106,1,0.001386448
80500707044,Kevin Hart,,23814764,Comedian,hartkevin,yes,0.03,116108,1,0.001335325
5.33833E+14,Trumbo,,97349,Movie,TrumboMovie,no,0,107,1,8.87E-04
4.82722E+14,Bleecker Street,,186638,Movie/Television Studio,BleeckerStFilms,no,0.06,384,1,0.001640298
8.84348E+14,The Night Before,,390948,Movie,NightBeforeMovie,no,0,324,1,8.58E-04
7.75726E+14,The Gift Movie,,89044,Movie,GIFTmovie,yes,0,147,1,8.58E-04
1.70889E+14,Jurassic World,,7867364,Movie,JurassicWorld,yes,0.06,23030,1,0.004177953
9.18356E+14,DOPE,,237359,Movie,DopeMovie,yes,0.01,474,1,8.71E-04
3.46692E+14,Steve Jobs,,445861,Movie,stevejobsfilm,yes,0,1661,1,8.58E-04
2.11774E+14,Helen Hunt,,825309,Artist,helenhunt,no,0.01,4859,1,8.58E-04
74504778787,Dwight Howard,,4892316,Athlete,DwightHoward,yes,0.05,5199,1,8.58E-04
1.4454E+11,MOVIECLIPS,,1059954,Entertainment Website,movieclips,no,0.2,116751,1,0.001658268
3.01503E+14,Loitering With Intent,,1673,Movie,loiteringwithintentmovie,yes,0,1,1,8.58E-04
5.58366E+14,Fandango Family,,208459,Product/Service,FandangoFamily,yes,0.03,203,1,0.001352872
1.39493E+14,"I, Frankenstein",,371787,Movie,IFrankensteinMovie,yes,0,350,1,0.001911535
1.59747E+14,The Hunger Games,,22000175,Movie,TheHungerGamesMovie,no,0.01,18894,1,0.002577812
3.76347E+14,Only God Forgives,,73153,Movie,onlygodforgivesfilm,yes,0,105,1,8.58E-04
5.13145E+14,Admission,,34903,Movie,AdmissionMovie,yes,0,38,1,0.001230337
1.09117E+14,Dead Man Down,,233472,Movie,DeadManDown,yes,0,156,1,8.99E-04
2.09719E+14,The Incredible Burt Wonderstone,,188897,Movie,burtwonderstone,no,0,107,1,8.90E-04
4.19835E+14,The Place Beyond The Pines,,155769,Movie,ThePlaceBeyondThePinesMovie,yes,0,164,1,0.001776581
2.09761E+11,The Lone Ranger,,768394,Movie,TheLoneRanger,no,0,571,1,0.003065187
1.41317E+14,Rio,,12614590,Other,RioMovies,no,0.01,5181,1,0.005533977
1.0593E+14,CinemaCon,,13488,Movie Theater,CinemaCon,no,0.07,216,1,0.001081914
4.79373E+14,Ender's Game,,330261,Movie,EndersGame,yes,0.01,328,1,9.21E-04
2.01415E+14,Fandango Cine,,29275,Entertainment Website,FandangoCine,yes,0.12,104,3,0.001334191
2.50492E+14,The Bitter Buddha (Documentary),,3866,Movie,TheBitterBuddha,yes,0,44,1,8.89E-04
4.53684E+14,The Upside Man,,63991,Movie,UpsideDownTheMovie,yes,0,52,1,8.58E-04
