id,label,timeset,users_can_post,category,username,talking_about_count,post_activity,fan_count,modularity_class
11640096627,Warner Bros. Entertainment,,no,Company,warnerbrosent,18841,0.04,3317700,0
648203938602320,Pan,,no,Movie,PANMOVIE,294,0.0,338521,0
610961565609192,LEGO The Hobbit,,yes,Video Game,LEGOTheHobbitGame,168,0.0,394211,0
298184739645,WB Games,,no,Games/Toys,wbgames,6767,0.01,307102,0
198997176809372,The Great Gatsby,,no,Movie,thegreatgatsbymovie,2659,0.0,1993670,1
296025760408983,Warner Bros. Pictures,,no,Movie/Television Studio,WarnerBrosPictures,11308,0.16,26724495,1
140262999339534,Batman Arkham,,yes,Games/Toys,BatmanArkham,3521,0.0,3085667,1
119132251453685,New Year's Eve,,no,Movie,newyearsevemovie,272,0.0,333789,0
218748948150844,Rock of Ages (Movie),,no,Movie,RockofAges,601,0.0,435256,0
363905403620380,Camelot,,no,Movie,camelotmovie,20,0.0,22414,0
101948999936375,Television Out of the Box: An Exhibit by Warner Bros.,,no,Arts & Entertainment,TelevisionOutOfTheBox,6,0.0,9984,2
108163362593713,Born to Be Wild 3D,,yes,Movie,BornToBeWild3D,77,0.0,27218,0
11648563484,DC Comics,,no,Company,dccomics,20621,0.2,3900759,2
194846137225728,Harold & Kumar,,yes,Movie,HaroldandKumarMovie,1079,0.0,1042322,0
160617097307237,The Hobbit,,no,Movie,TheHobbitMovie,25345,0.0,7494209,0
225034700870481,The Dark Knight Rises,,no,Movie,thedarkknightrises,4324,0.0,6125120,1
209402479080745,J. Edgar,,no,Movie,jedgarmovie,80,0.0,80738,0
162702857087239,"Crazy, Stupid, Love.",,yes,Movie,crazystupidlove,1815,0.0,1032456,0
209168032468625,Warner Bros. Cine - Latino,,yes,Movie/Television Studio,WarnerBrosCine,11209,0.1,2681509,0
74089565764,The Hangover,,no,Movie,thehangover,12803,0.0,21397811,0
208057699215690,Aim High,,no,Entertainment Website,AimHighSeries,12,0.0,30970,0
152894501427424,Warner Bros. Studio Tour London,,yes,Landmark & Historical Place,wbtourlondon,25380,0.32,857571,1
144959715764,Green Lantern (Movie),,no,Movie,greenlanternmovie,4112,0.0,4144583,0
154177751317986,Ben-Hur,,yes,Movie,BenHurMovie,474,0.0,340920,2
212216417436,The Lord of the Rings Trilogy,,no,Movie,lordoftheringstrilogy,8784,0.0,13876365,0
156794164312,Harry Potter,,no,Movie,harrypottermovie,216782,0.04,75457113,1
186020545045,Warner Bros. Studio Tour Hollywood,,yes,Local Business,wbtourhollywood,8023,0.04,176054,2
53569778639,Warner Blu,,no,Company,WarnerBlu,48,0.0,64019,0
211855160060,WB Shop,,no,Retail Company,wbshop,163,0.0,132973,2
205910361562,Warner Archive Collection,,yes,Movie/Television Studio,warnerarchive,9805,0.27,196863,2
111253159609,Time Warner,,no,Media/News Company,TimeWarner,132,0.03,133894,2
23330993776,Warner Bros. TV,,no,Movie/Television Studio,warnerbrostv,7991,0.07,520056,2
8062362435,The CW,,no,TV Network,TheCW,8684,0.11,1748322,2
